name,rank_custom,rank_bangumi,subjectname
321,1,37,机动警察 和平保卫战
326,2,2,攻壳机动队 S.A.C. 2nd GIG
2907,3,15,银河英雄传说
1728,4,11,浪客剑心 追忆篇
253,5,1,星际牛仔
237,6,7,攻壳机动队
324,7,3,攻壳机动队 STAND ALONE COMPLEX
839,8,22,蓝色恐惧
37460,9,48,哆啦A梦 大山版
110467,10,13,白箱
238,11,19,攻壳机动队2 无罪
13552,12,205,机动警察 OVA2
40003,13,169,福星小子2 绮丽梦中人
6049,14,8,新世纪福音战士剧场版 Air/真心为你
9622,15,52,机动战士Z高达
4583,16,80,机动战士高达 逆袭的夏亚
25961,17,18,猫和老鼠
106207,18,32,虫师 续章 第2期
211567,19,12,3月的狮子 第二季
340,20,16,虫师
1959,21,54,怪物
1015,22,46,机动战士高达0080 口袋里的战争
1428,23,14,钢之炼金术师 FULLMETAL ALCHEMIST
1608,24,9,灌篮高手
92705,25,34,虫师 续章
120700,26,91,虫师 续章 铃之雫
840,27,31,千年女优
770,28,21,天元突破 红莲螺岩
2734,29,55,星空清理者
265,30,5,新世纪福音战士
10291,31,39,攻壳机动队2.0
11834,32,6,银魂'
72266,33,41,少女与战车 剧场版
320,34,49,攻壳机动队 S.A.C. Solid State Society
3302,35,17,福音战士新剧场版：破
4163,36,62,百变之星
254,37,33,混沌武士
848,38,30,蜂蜜与四叶草II
876,39,4,CLANNAD ～AFTER STORY～
1962,39,25,大闹天宫
176615,41,61,昭和元禄落语心中 -助六再临篇-
3627,42,111,回忆三部曲
43558,43,57,JOJO的奇妙冒险
100501,44,92,太空丹迪 第二季
39923,45,59,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你
173849,46,40,排球少年 乌野高校 VS 白鸟泽学园高校
113292,47,58,JOJO的奇妙冒险 星尘斗士 埃及篇
45089,48,165,山水情
1984,49,162,老人与海
842,50,105,东京教父
841,51,44,红辣椒
41568,52,50,歌牌情缘2
847,53,29,蜂蜜与四叶草
860,54,71,星际牛仔 天国之扉
120236,55,64,排球少年 第二季
493,56,82,皇家国教骑士团 OVA
4038,57,177,疯狂约会美丽都
298,58,35,天空之城
12283,59,235,魔术师
769,60,88,飞跃巅峰！
3553,61,103,∀高达
88473,62,97,虫师 蚀日之翳
247,63,10,银魂
93739,64,66,乒乓
12579,65,340,凡尔赛玫瑰
203526,66,101,来自深渊
1891,67,135,少女革命剧场版 思春期默示录
4019,68,45,四叠半神话大系
14879,69,182,小魔女DoReMi 童年秘密篇
794,70,99,电脑线圈
295,71,60,风之谷
124341,72,28,水星领航员 The AVVENIRE
3375,73,23,凉宫春日的消失
116370,74,118,日本动画（人）博览会
844,75,194,人狼
10380,76,24,命运石之门
310,77,47,幽灵公主
10379,78,172,装甲骑兵VOTOMS
1270,79,20,水星领航员 第三季
37063,80,153,百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～
1856,81,70,十二国记
311,82,26,千与千寻
1976,83,201,精灵守护者
965,84,78,永生之酒
